code_insee,nom_standard,dep_code,dep_nom,reg_code,reg_nom,population,latitude_mairie,longitude_mairie,niveau_equipements_services_texte,url_wikipedia,priorite_analyse,statut_analyse,derniere_analyse,prochaine_analyse,commentaire_veille
44173,Saint-Lumine-de-Clisson,44,Loire-Atlantique,52,Pays de la Loire,2100,47.083,-1.337,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Saint-Lumine-de-Clisson,faible,jamais_analysee,,,
44001,Abbaretz,44,Loire-Atlantique,52,Pays de la Loire,2073,47.554,-1.532,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Abbaretz,faible,jamais_analysee,,,
44119,Paulx,44,Loire-Atlantique,52,Pays de la Loire,2054,46.963,-1.754,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Paulx,faible,jamais_analysee,,,
44107,Mouzeil,44,Loire-Atlantique,52,Pays de la Loire,2017,47.448,-1.348,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Mouzeil,faible,jamais_analysee,,,
44099,Moisdon-la-Rivière,44,Loire-Atlantique,52,Pays de la Loire,1990,47.62,-1.374,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Moisdon-la-Rivière,faible,jamais_analysee,,,
44203,Le Temple-de-Bretagne,44,Loire-Atlantique,52,Pays de la Loire,1975,47.33,-1.792,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Le Temple-de-Bretagne,faible,jamais_analysee,,,
44206,Touvois,44,Loire-Atlantique,52,Pays de la Loire,1970,46.904,-1.684,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Touvois,faible,jamais_analysee,,,
44199,Soudan,44,Loire-Atlantique,52,Pays de la Loire,1959,47.737,-1.307,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Soudan (Loire-Atlantique),faible,jamais_analysee,,,
44106,Les Moutiers-en-Retz,44,Loire-Atlantique,52,Pays de la Loire,1939,47.063,-2.0,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Les Moutiers-en-Retz,faible,jamais_analysee,,,
44142,Remouillé,44,Loire-Atlantique,52,Pays de la Loire,1932,47.057,-1.378,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Remouillé,faible,jamais_analysee,,,
44006,Assérac,44,Loire-Atlantique,52,Pays de la Loire,1890,47.427,-2.392,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Assérac,faible,jamais_analysee,,,
44062,Le Gâvre,44,Loire-Atlantique,52,Pays de la Loire,1890,47.52,-1.748,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Le Gâvre,faible,jamais_analysee,,,
44075,Issé,44,Loire-Atlantique,52,Pays de la Loire,1856,47.623,-1.451,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Issé,faible,jamais_analysee,,,
44224,La Grigonnais,44,Loire-Atlantique,52,Pays de la Loire,1828,47.525,-1.668,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:La Grigonnais,faible,jamais_analysee,,,
44202,Teillé,44,Loire-Atlantique,52,Pays de la Loire,1824,47.461,-1.282,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Teillé (Loire-Atlantique),faible,jamais_analysee,,,
44157,Saint-Étienne-de-Mer-Morte,44,Loire-Atlantique,52,Pays de la Loire,1782,46.93,-1.743,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Saint-Étienne-de-Mer-Morte,faible,jamais_analysee,,,
44220,Vue,44,Loire-Atlantique,52,Pays de la Loire,1753,47.2,-1.877,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Vue (Loire-Atlantique),faible,jamais_analysee,,,
44153,Saint-Aubin-des-Châteaux,44,Loire-Atlantique,52,Pays de la Loire,1744,47.72,-1.485,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Saint-Aubin-des-Châteaux,faible,jamais_analysee,,,
44196,Sévérac,44,Loire-Atlantique,52,Pays de la Loire,1690,47.547,-2.078,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Sévérac (Loire-Atlantique),faible,jamais_analysee,,,
44197,Sion-les-Mines,44,Loire-Atlantique,52,Pays de la Loire,1658,47.734,-1.589,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Sion-les-Mines,faible,jamais_analysee,,,
44140,La Regrippière,44,Loire-Atlantique,52,Pays de la Loire,1609,47.181,-1.176,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:La Regrippière,faible,jamais_analysee,,,
44095,La Meilleraye-de-Bretagne,44,Loire-Atlantique,52,Pays de la Loire,1606,47.56,-1.402,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:La Meilleraye-de-Bretagne,faible,jamais_analysee,,,
44090,La Marne,44,Loire-Atlantique,52,Pays de la Loire,1586,46.995,-1.742,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:La Marne (Loire-Atlantique),faible,jamais_analysee,,,
44221,La Chevallerais,44,Loire-Atlantique,52,Pays de la Loire,1569,47.466,-1.673,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:La Chevallerais,faible,jamais_analysee,,,
44139,Quilly,44,Loire-Atlantique,52,Pays de la Loire,1565,47.46,-1.952,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Quilly (Loire-Atlantique),faible,jamais_analysee,,,
44193,Saint-Vincent-des-Landes,44,Loire-Atlantique,52,Pays de la Loire,1525,47.655,-1.498,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Saint-Vincent-des-Landes,faible,jamais_analysee,,,
44091,Marsac-sur-Don,44,Loire-Atlantique,52,Pays de la Loire,1524,47.598,-1.679,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Marsac-sur-Don,faible,jamais_analysee,,,
44118,Pannecé,44,Loire-Atlantique,52,Pays de la Loire,1439,47.486,-1.236,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Pannecé,faible,jamais_analysee,,,
44076,Jans,44,Loire-Atlantique,52,Pays de la Loire,1364,47.622,-1.612,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Jans,faible,jamais_analysee,,,
44136,Préfailles,44,Loire-Atlantique,52,Pays de la Loire,1321,47.128,-2.216,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:Préfailles,faible,jamais_analysee,,,
44141,La Remaudière,44,Loire-Atlantique,52,Pays de la Loire,1303,47.237,-1.244,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:La Remaudière,faible,jamais_analysee,,,
44222,La Roche-Blanche,44,Loire-Atlantique,52,Pays de la Loire,1261,47.441,-1.138,centre local d'équipements et de services,https://fr.wikipedia.org/wiki/fr:La Roche-Blanche (Loire-Atlantique),faible,jamais_analysee,,,
